GAME_ID,game_date,matchup,view_count,like_count,comment_count,pace_game,points,pct_pts_from_3pt,pct_fga_from_3pt,close_game,totalallstarsplayed,pct_pts_ft_game,pct_pts_fb_game,dunks,threes_more_than_28ft,highlight_plays,mov,avg_value_billions
22000522,2021-02-28,HAWKS at HEAT,337011.0,2402.0,491.0,96.5,208.0,0.274038,0.416185,1.0,0,0.1875,0.115384615384615,6.0,1.0,7.0,10.0,4.700000000000000
22000525,2021-02-28,GRIZZLIES at ROCKETS,376991.0,1480.0,361.0,110.5,217.0,0.193548,0.423729,0.0,0,0.262672811059908,0.19815668202765,11.0,0.0,11.0,49.0,4.45
22000527,2021-02-28,WARRIORS at LAKERS,2665448.0,21693.0,3493.0,108.0,208.0,0.274038,0.380117,0.0,2,0.1875,0.168269230769231,13.0,2.0,15.0,26.0,8.2
22000526,2021-02-28,SUNS at TIMBERWOLVES,225927.0,1482.0,355.0,106.0,217.0,0.207373,0.340659,0.0,2,0.202764976958525,0.161290322580645,,,,19.0,3.925
22000528,2021-02-28,HORNETS at KINGS,464440.0,4354.0,816.0,99.0,253.0,0.320158,0.377143,0.0,0,0.142292490118577,,12.0,0.0,12.0,1.0,3.9000000000000000
22000529,2021-03-01,MAVERICKS at MAGIC,300044.0,2160.0,379.0,103.0,254.0,0.437008,0.47027,0.0,2,0.114173228346457,0.0708661417322835,5.0,3.0,8.0,6.0,4.275
22000530,2021-03-01,PACERS at 76ERS,310693.0,1935.0,422.0,107.0,244.0,0.282787,0.357542,0.0,3,0.135245901639344,0.200819672131148,10.0,1.0,11.0,16.0,4.15
22000531,2021-03-01,NUGGETS at BULLS,330741.0,1894.0,340.0,99.0,230.0,0.286957,0.359116,0.0,2,0.139130434782609,0.160869565217391,9.0,2.0,11.0,6.0,5.0
22000533,2021-03-01,JAZZ at PELICANS,840079.0,5623.0,1224.0,105.5,253.0,0.284585,0.279793,0.0,4,0.130434782608696,0.185770750988142,8.0,1.0,9.0,5.0,3.525
22000534,2021-03-01,NETS at SPURS,1277168.0,9322.0,1265.0,91.02,237.0,0.405063,0.385787,0.0,1,0.0970464135021097,0.130801687763713,8.0,3.0,11.0,11.0,4.65
22000532,2021-03-01,CAVALIERS at ROCKETS,257290.0,1407.0,351.0,97.0,191.0,0.314136,0.409396,1.0,0,0.193717277486911,0.104712041884817,5.0,0.0,5.0,11.0,5.025
22000535,2021-03-01,HORNETS at TRAIL BLAZERS,652558.0,5363.0,725.0,97.5,234.0,0.5,0.45977,0.0,1,0.0726495726495727,0.14957264957265,7.0,6.0,13.0,12.0,3.5
22000536,2021-03-02,GRIZZLIES at WIZARDS,269605.0,1844.0,334.0,109.0,236.0,0.305085,0.340909,1.0,1,0.152542372881356,0.127118644067797,7.0,6.0,13.0,14.0,3.725
22000538,2021-03-02,HAWKS at HEAT,297055.0,1891.0,270.0,86.0,174.0,0.37931,0.472603,0.0,0,0.160919540229885,0.103448275862069,5.0,5.0,10.0,14.0,4.700000000000000
22000537,2021-03-02,CLIPPERS at CELTICS,596072.0,4298.0,960.0,90.0,229.0,0.445415,0.404624,0.0,3,0.109170305676856,0.0524017467248908,5.0,2.0,7.0,5.0,5.45
